Collecting time,X,Y,Z,
38798,-354,-394,-530,
38838,-352,-414,-531,
38878,-355,-428,-524,
38918,-359,-452,-525,
38958,-382,-508,-504,
38998,-398,-571,-480,
39039,-415,-643,-439,
39079,-432,-676,-408,
39119,-444,-686,-387,
39159,-459,-704,-360,
39199,-480,-728,-301,
39239,-500,-741,-247,
39279,-507,-763,-209,
39319,-508,-774,-170,
39359,-522,-766,-133,
39399,-544,-736,-89,
39439,-553,-718,-44,
39479,-554,-705,1,
39519,-553,-692,38,
39559,-554,-678,57,
39599,-559,-655,78,
39639,-560,-628,106,
39679,-555,-595,144,
39719,-553,-519,195,
39759,-554,-482,202,
39799,-555,-464,199,
39839,-553,-439,206,
39879,-551,-414,205,
39919,-544,-383,212,
39959,-545,-354,215,
39999,-534,-330,223,
40040,-535,-308,217,
40080,-543,-294,202,
40120,-547,-276,189,
40160,-553,-260,169,
40200,-561,-245,137,
40240,-574,-243,107,
40280,-583,-250,85,
40320,-592,-250,60,
40360,-597,-260,43,
40400,-601,-272,22,
40440,-605,-277,0,
40480,-605,-282,-8,
40520,-607,-283,-10,
40560,-607,-288,-26,
40600,-612,-305,-40,
40640,-613,-305,-50,
40680,-612,-304,-66,
40720,-611,-315,-91,
40760,-612,-326,-115,
40800,-612,-338,-128,
40840,-610,-356,-147,
40880,-608,-369,-166,
40920,-608,-384,-170,
40960,-606,-393,-183,
41000,-604,-410,-191,
41040,-602,-434,-201,
41080,-599,-464,-195,
41120,-598,-498,-184,
41160,-593,-533,-180,
41200,-586,-569,-174,
41240,-578,-601,-157,
41280,-570,-631,-149,
41320,-561,-667,-130,
41360,-544,-699,-99,
41400,-529,-726,-43,
41440,-512,-745,4,
41480,-508,-742,40,
41520,-499,-733,79,
41560,-493,-709,126,
41600,-490,-660,178,
41640,-483,-640,203,
41680,-478,-627,217,
41720,-475,-581,253,
41760,-469,-534,269,
41800,-460,-548,273,
41840,-456,-536,280,
41880,-458,-503,284,
41920,-448,-481,301,
41960,-437,-459,310,
42000,-432,-433,318,
42041,-423,-407,325,
42081,-409,-379,335,
42121,-388,-348,349,
42161,-370,-327,353,
42201,-353,-291,354,
42241,-343,-243,349,
42281,-327,-189,337,
42321,-317,-132,310,
42361,-316,-81,277,
42401,-318,-43,247,
42441,-312,-20,226,
42481,-308,-4,210,
42521,-296,13,196,
42561,-289,31,175,
42601,-281,52,150,
42641,-265,72,119,
42681,-250,87,96,
42721,-244,102,72,
42761,-235,111,38,
42801,-235,121,-1,
42841,-245,122,-54,
42881,-260,117,-99,
42921,-276,104,-139,
42961,-283,95,-170,
43001,-279,84,-210,
43042,-286,60,-256,
43082,-286,42,-291,
43122,-283,20,-322,
43162,-293,-33,-375,
43202,-303,-73,-406,
43242,-303,-105,-429,
43282,-297,-141,-457,
43322,-288,-180,-478,
43362,-281,-232,-500,
43402,-280,-304,-516,
43442,-274,-338,-523,
43482,-267,-361,-528,
43522,-267,-400,-531,
43562,-268,-448,-530,
43602,-261,-517,-520,
43642,-261,-570,-505,
43682,-254,-604,-494,
43722,-245,-661,-470,
43762,-228,-712,-450,
43802,-211,-734,-439,
43842,-193,-768,-415,
43882,-171,-799,-385,
43922,-158,-825,-359,
43962,-137,-844,-333,
44002,-111,-859,-313,
44043,-99,-868,-293,
44083,-91,-870,-288,
44123,-78,-875,-279,
44163,-61,-878,-265,
44203,-65,-895,-234,
44243,-78,-913,-169,
44283,-90,-927,-106,
44323,-113,-928,-40,
44363,-129,-921,14,
44403,-153,-899,86,
44443,-178,-857,161,
44483,-182,-822,211,
44523,-170,-819,214,
44563,-180,-815,217,
44603,-192,-796,240,
44643,-198,-759,271,
44683,-196,-714,303,
44723,-197,-646,341,
44763,-199,-586,367,
44803,-197,-559,373,
44843,-198,-539,379,
44883,-205,-508,389,
44923,-198,-442,394,
44963,-162,-361,400,
45003,-136,-311,397,
45044,-122,-269,388,
45084,-110,-232,380,
45124,-93,-197,363,
45164,-89,-158,352,
45204,-85,-127,337,
45244,-80,-98,319,
45284,-76,-74,300,
45324,-64,-58,293,
45364,-62,-45,283,
45404,-55,-21,260,
45444,-54,0,243,
45484,-64,31,213,
45524,-81,61,174,
45564,-94,90,127,
45604,-116,116,69,
45644,-139,136,-3,
45684,-148,144,-61,
45724,-153,143,-86,
45764,-160,143,-100,
45804,-166,143,-115,
45844,-174,143,-132,
45884,-178,141,-144,
45924,-182,138,-155,
45964,-188,134,-178,
46004,-192,118,-225,
46045,-190,89,-291,
46085,-188,65,-328,
46125,-186,28,-376,
