Collecting time,X,Y,Z,
30509,-610,-271,116,
30549,-613,-425,152,
30589,-562,-546,215,
30629,-482,-635,265,
30669,-414,-672,299,
30709,-354,-671,330,
30749,-308,-638,365,
30789,-298,-583,394,
30829,-288,-504,420,
30869,-281,-401,434,
30909,-265,-267,434,
30949,-154,-85,402,
30989,109,17,263,
31030,322,-104,7,
31070,335,-318,-210,
31110,265,-460,-313,
31150,172,-539,-394,
31190,82,-580,-448,
31230,-11,-581,-488,
31270,-92,-572,-517,
31310,-172,-558,-525,
31350,-238,-533,-526,
31390,-287,-508,-519,
31430,-347,-499,-498,
31470,-409,-497,-463,
31510,-463,-535,-407,
31550,-512,-594,-327,
31590,-532,-672,-237,
31630,-504,-768,-167,
31670,-427,-869,-134,
31710,-301,-958,-138,
31750,-128,-993,-179,
31790,17,-924,-289,
31830,68,-788,-389,
31870,89,-692,-409,
31910,76,-653,-411,
31950,98,-639,-394,
31990,109,-641,-389,
32031,85,-656,-402,
32071,69,-693,-401,
32111,44,-731,-396,
32151,-13,-766,-409,
32191,-87,-801,-410,
32231,-190,-853,-375,
32271,-311,-888,-290,
32311,-410,-898,-149,
32351,-441,-877,5,
32391,-417,-846,127,
32431,-365,-813,218,
32471,-318,-763,287,
32511,-271,-699,348,
32551,-226,-612,400,
32591,-181,-509,437,
32631,-126,-359,458,
32671,-19,-219,432,
32711,179,-158,312,
32751,335,-235,130,
32791,376,-427,-39,
32831,324,-550,-205,
32871,234,-619,-307,
32911,158,-647,-370,
32951,91,-657,-412,
32991,32,-651,-449,
33032,-39,-628,-488,
33072,-89,-602,-513,
33112,-139,-573,-524,
33152,-206,-551,-526,
33192,-274,-538,-523,
33232,-364,-567,-473,
33272,-446,-615,-396,
33312,-496,-684,-288,
33352,-493,-774,-177,
33392,-423,-870,-125,
33432,-324,-945,-128,
33472,-222,-972,-210,
33512,-114,-927,-338,
33552,-22,-824,-417,
33592,-29,-730,-458,
33632,-60,-683,-465,
33672,-71,-670,-460,
33712,-89,-671,-457,
33752,-138,-708,-447,
33792,-203,-743,-422,
33832,-282,-775,-381,
33872,-346,-795,-331,
33912,-403,-817,-261,
33952,-468,-815,-176,
33992,-536,-765,-62,
34033,-584,-631,92,
34073,-542,-450,259,
34113,-471,-290,321,
34153,-379,-130,321,
34193,-306,-13,272,
34233,-253,67,207,
34273,-236,127,105,
34313,-223,163,-5,
34353,-214,172,-123,
34393,-190,154,-241,
34433,-116,100,-367,
34473,32,-58,-492,
34513,225,-294,-458,
34553,372,-442,-195,
34593,360,-351,0,
34633,285,-231,112,
34673,212,-173,169,
34713,142,-162,236,
34753,86,-146,273,
34793,42,-141,297,
34833,-12,-146,330,
34873,-57,-174,360,
34913,-90,-209,383,
